,Time,Title,sentiment
29,2019-09-27,美国电子烟神秘肺病病例一周激增52%已致12人死亡,0
30,2019-09-27,苏宁易购正式收购家乐福将加速快消领域布局,1
31,2019-09-26,人民日报海外版：大兴机场探路5G智慧出行,1
32,2019-09-26,Arm中国吴雄昂:从未对华为断供后续架构继续供货,1
33,2019-09-23,威马EX5汽车起火官方称正在配合调查事故原因,0
34,2019-09-20,工信部:VPN规定不会影响国内外企业合规开展跨境业务,1
35,2019-09-19,iPhone11系列渠道价出炉绿色最高溢价700元,0
36,2019-09-19,台积电向应用材料等公司订购价值约13亿元设备,1
37,2019-09-19,袁隆平团队又出手！国内首个海水稻寒地育种站设立,1
38,2019-09-19,俄病毒研究所爆炸实验室存有天花病毒，官方称没有危险物泄露,0
39,2019-09-19,扎克伯格将在华盛顿会晤美议员讨论互联网监管问题,1
40,2019-09-19,特斯拉在德挑战保时捷创造电动车最快速度记录,1
41,2019-09-17,科技部：鼓励设立科技类民办非企业单位,1
42,2019-09-17,比尔·盖茨：分拆科技巨头不是个好主意,0
43,2019-09-17,滴滴与丰田合资公司正式成立定名丰桔出行,1
44,2019-09-17,特斯拉拟在投产前扩建上海工厂：为电池生产做准备,1
45,2019-09-17,美国拟允许特斯拉等电动汽车加入多种警报声,1
46,2019-09-17,向5G过渡！高通收购与TDK公司权益总价值31亿美元,1
47,2019-09-12,2019国家制造强国建设专家主论坛即将在合肥举办,1
48,2019-09-11,宣布退休的第一时间我们独家专访了马云,1
49,2019-09-10,特斯拉明年可能推新电池可行驶161万公里,1
50,2019-09-10,人民日报：5G将成为文艺创造新沃土,1
51,2019-09-10,从马老师回归马老师：55岁马云卸任阿里董事局主席,1
52,2019-09-10,比隐私滥用更可怕的是AI摄像头的黑灰产之困,0
53,2019-09-09,国际第三代半导体专业赛长三角赛区决赛颁奖典礼在张家港举行,1
54,2019-09-09,2019国际第三代半导体专业赛长三角赛区张家港决赛圆满结束,1
55,2019-09-09,首例太空犯罪行为出现了,0
56,2019-09-09,共享经济涨价潮：从疯狂烧钱到续命,0
57,2019-09-08,第七届中国（绵阳）科博会2019第一届新型智慧城市发展论坛在四川绵阳隆重召开,1
58,2019-09-06,Nature封面：社交网络影响集体决策或改变选举结果,0
59,2019-09-06,我国科学家实现原子级石墨烯可控折叠属世界首次,1
60,2019-09-06,这篇《科学》论文带来了治愈艾滋病的曙光,1
61,2019-09-06,运营商预计AR/VR等高清视频将成5G第一波应用,1
62,2019-09-05,三星集成5G处理器Exynos980集成5G基带,1
63,2019-09-05,中国天眼近日探测到快速射电暴多次重复爆发,1
64,2019-09-05,科学家发现一种新形式光波：季亚科诺夫—福格特波,1
65,2019-09-04,天时、地利、人和：5G+AI促进手机智慧升级,1
66,2019-09-03,华为、中国移动发布5G立体覆盖网络推进5G无缝覆盖,1
67,2019-09-03,暴风集团公告：法定代表人冯鑫被批准逮捕,0
68,2019-09-03,格力易主迎来终极PK高瓴厚朴展开400亿角逐,1
69,2019-09-03,人民日报海外版：智慧医疗未来已来,1
70,2019-09-03,同程艺龙联席董事长吴志祥抛售股份套现3936万港元,0
71,2019-09-03,郭明錤：华为中国市占率将达50%5G手机出货1亿部,1
72,2019-09-02,让科学跑赢谣言-科学辟谣平台正式启动,1
73,2019-09-02,人工智能深度赋能金融科技风口呼唤领军人才,1
74,2019-09-02,一公斤5000美元！马斯克把小卫星发射费降到白菜价,1
75,2019-09-02,国产操作系统往事：四十年激变，终再起风云,1
76,2019-09-01,2019中国企业500强发布：华为排名第15阿里45联想53,1
77,2019-08-31,特斯拉全系免征购置税，马斯克这趟中国出差来得值,1
78,2019-08-29,杰和科技携手京东云参展重庆智博会GDSM智慧商显管理系统惊艳亮相,1
79,2019-08-29,2019济南先行区·京东创新创业大赛济南赛区复赛成功举办,1
80,2019-08-27,6省自贸区总体方案出炉上市公司将迎来重大机遇,1
81,2019-08-27,格芯起诉台积电侵权苹果联想等受牵连,0
82,2019-08-26,旷视冲刺IPO：AI独角兽的无限游戏,1
83,2019-08-26,人类98%DNA是垃圾，但它们具有至关重要的作用！,1
84,2019-08-23,科大讯飞回应2.09亿政府补助：不会靠政府补助来运营,1
85,2019-08-23,6岁以下儿童注意长期使用电子产品面临六大伤害,0
86,2019-08-23,特斯拉据悉与LG化学达成协议为其中国工厂采购电池,1
87,2019-08-21,金山云Q2营收9.18亿同比增96%占金山软件总营收49%,1
88,2019-08-20,云平台网络威胁加剧工业互联网成网络攻击重点目标,0
89,2019-08-19,三星电子占韩国上半年出口额20%,0
90,2019-08-16,中金下调联想集团目标价至6.2港元后者盘中下跌1%,0
91,2019-08-15,微软更新隐私政策承认聘请供应商收听语音数据,0
92,2019-08-15,联想第一季度股东应占净利润1.62亿美元超出预期,1
93,2019-08-13,2018年美国专利数量公布：IBM夺榜首华为排第19,1
94,2019-08-12,三星电子找到代替渠道：从比利时采购半导体材料,1
95,2019-08-12,加油站能否扫码支付应有统一规范,1
96,2019-08-12,鸿蒙系统正式亮相华为：手机随时可以使用,1
97,2019-08-12,深圳区块链电子发票已有超5300家企业使用,1
98,2019-08-09,第12届科学仪器网络原创作品大赛征稿通知,1
99,2019-08-09,虚拟细胞或将改变一个领域,1
100,2019-08-09,十年一剑大亚湾中微子实验令世界瞩目,1
101,2019-08-09,首艘猎户座组装完成5年内载人登月,1
102,2019-08-07,蚂蚁金服联姻全球最大公募Vanguard回应：不予置评,0
103,2019-08-07,中国科大等实现海森堡极限精度的一般信道参数测量,1
104,2019-08-07,大连应急救援无人机测试，大疆表现惊艳连获三项第一！,1
105,2019-08-06,统计学诺贝尔奖授予R语言软件工程师,1
106,2019-08-06,国家邮政局：7月中国快递发展指数同比提高21.8%,1
107,2019-08-06,SpaceX宣布火箭拼车发射项目225万美元可送卫星上天,1
108,2019-08-02,《科学》：中国科学家对美日渐增长反华情绪感到震惊,0
109,2019-08-02,181人！2019中科院院士增选初步候选人名单公布,1
110,2019-08-01,字节跳动瞄准百度铁饭碗上万台机器已在运作,1
111,2019-08-01,英特尔已申请向华为供货的许可证,1
112,2019-08-01,本田汽车云端数据库未设密码全球员工信息险遭泄露,0
113,2019-07-29,科学家首次创造出永磁液体：可变多种形状操控下移动,1
114,2019-07-29,暴风的失控，冯鑫一语成箴,0
115,2019-07-29,格力举报奥克斯后被曝自家空调不达标：声明称是曲解,0
116,2019-07-26,华为智慧屏来了：将使用鸿蒙系统和自研芯片9月发布,1
117,2019-07-26,马斯克隧道公司Boring融资1.2亿美元为首次外部投资,1
118,2019-07-26,阿里飞天大数据平台正式亮相：国内最大计算平台,1
119,2019-07-25,被FTC罚款后：Facebook被美国证监会罚款1亿美元,0
120,2019-07-25,特斯拉联合创始人兼CTO将离职此前地位仅次于马斯克,0
121,2019-07-24,华为最高201万年薪招顶尖学：多为人工智能等领域,1
122,2019-07-24,美司法部拟调查大型科技公司：涉及反垄断问题,1
123,2019-07-23,海关总署：上半年全国跨境电商进口货值超450亿元,1
124,2019-07-23,马斯克：星舟重型运载火箭将安装41台发动机,1
125,2019-07-23,工信部：中国市场已有约20款5G手机可上市,1
126,2019-07-22,国家网信办等四部门发布《云计算服务安全评估办法》,1
127,2019-07-19,紫光展锐荣获5G突出贡献奖5G芯片可支持SA和NAS,1
128,2019-07-18,特斯拉招聘28个职位约500人竞争堪比公务员考试,1
129,2019-07-18,法国财长：将维持对互联网巨头征收数字服务税,1
130,2019-07-17,特斯拉冲击波将至：国产版Model3的围剿与反围剿,1
131,2019-07-17,苹果首席合规官：我们的生态系统好大家才能更好,1
132,2019-07-12,华为董事长谈美国封杀影响：上半年营收保持了增长,1
133,2019-07-11,商务部：不可靠实体清单将于近期发布,0
134,2019-07-09,上海公安网安依法对2家违规App运营企业处以停机整顿,0
135,2019-07-09,FB员工平均每年创造利润63.5万美元但薪资不是最高,1
136,2019-07-09,特斯拉推全自动驾驶后将大幅涨价要买赶紧,0
137,2019-07-08,微软帐户两年内不活跃将被删除且不会发送提醒邮件,0
138,2019-07-08,中国超算顶天立地四十年：累计拿下13次世界第一,1
139,2019-07-08,发展人工智能芯片，中国不能偏科,1
140,2019-07-03,划重点！成都电子信息博览会精彩看点,1
141,2019-07-03,2019网络安全合规和数据保护实践国际峰会,1
142,2019-07-03,百度官方回应李彦宏遭泼水：前行的决心不会改变,1
143,2019-07-03,美众议院议员致信FB领导层：要求立即停止Libra项目,0
144,2019-07-03,工业富联5G产品已卖几十万台股价受多因素影响,1
145,2019-07-02,工信部与微信推婴配乳粉追溯小程序涉7.1亿条信息,0
146,2019-07-01,特朗普称美企可继续供货华为华为官推：U型转弯？,0
147,2019-07-01,紫光集团宣布组建DRAM事业群,1
148,2019-06-28,首席设计官离职:苹果盘后一度跌超1%市值损90亿美元,0
149,2019-06-27,传苹果未采购足量OLED面板面临三星数千亿韩元索赔,0
150,2019-06-27,富士康辟谣：撤离大陆一说是无稽之谈，无大规模裁员,0
151,2019-06-25,特斯拉获得豁免：从日本进口铝暂不交纳10%关税,1
152,2019-06-25,加拿大：孟晚舟律师指出放弃对孟晚舟引渡符合加利益,0
153,2019-06-25,联邦快递被点名后起诉美国商务部：我们不是执法机构,0
154,2019-06-25,国际清算银行：科技巨头从事金融业务应接受同样监管,1
155,2019-06-24,为什么苏宁比永辉更需要家乐福？,1
156,2019-06-24,盖茨透露自己曾犯下4000亿美元的错：给了安卓机会,0
157,2019-06-21,明确反对关税！四家美国科技巨头发布联合声明,1
158,2019-06-21,美国议员拟立法阻止华为依法维权外交部回应,0
159,2019-06-18,传特斯拉重组亚洲业务将建立大中华区部门,1
160,2019-06-18,董明珠：举报奥克斯非竞争是道德选择格力欢迎监督,1
161,2019-06-18,爱因斯坦和诺贝尔奖的恩怨,1
162,2019-06-17,搅局中国零售Costco面前的三道坎,0
163,2019-06-14,苹果CEO库克前往白宫：参加就业培训讨论,1
164,2019-06-12,马斯克：特斯拉可能会进入采矿业以确保电池充足,1
165,2019-06-12,呼和浩特施援贾跃亭为意向阶段FF对合作造车缄默,0
166,2019-06-12,马斯克称曾经设计过潜水车灵感来自007电影,1
167,2019-06-11,苗圩：人工智能是引领未来发展的战略性技术,1
168,2019-06-11,工商银行：正式推出首家基于5G应用的新型智能网点,1
169,2019-06-11,深圳互金协会推出P2P网贷机构良性退出投票系统,0
170,2019-06-05,三星电子高管被逮捕涉嫌销毁生物技术公司欺诈证据,0
171,2019-06-03,国产特斯拉开订：32.8万一辆，能否拯救困局？,0
172,2019-05-30,蔚来李斌的三重考验：销量、资金、效率,0
173,2019-05-30,刚刚，IEEE发声明：承认限制华为人参与论文审稿,0
174,2019-05-29,中兴腾讯开展5G网络合作将成立联合创新实验室,1
175,2019-05-29,美FTC委员：将鼓励高院重新考虑高通反垄断案裁决,1
176,2019-05-28,2019年亚太地区AI支出预计达55亿美元中国增长最大,1
177,2019-05-27,微软等致信美国政府：封杀中国企业将引火烧身,0
178,2019-05-27,五大标准组织暂停华为成员资格,0
179,2019-05-27,搭上工业互联网新动能加速成长,1
180,2019-05-23,科大讯飞:与华为类似从ToB到ToC能坐十年冷板凳,0
181,2019-05-23,格力神秘潜在接盘者厚朴:投资蘑菇街小米均获高回报,1
182,2019-05-23,美国打华为，疼的是苹果？,0
183,2019-05-22,德芯片厂商否认停供华为：大多数产品不受美国限制,1
184,2019-05-22,海康威视遭遇美国断供？回应：暂时未接到消息,0
185,2019-05-21,美国封杀华为导致自身混乱美欧芯片股大跌,1
186,2019-05-21,任正非：中国将来要和美国竞赛一定是通过教育,1
187,2019-05-20,任正非称不会听命于美国政府华为已做好准备,1
188,2019-05-16,马斯克：SpaceX有充足资金运营卫星上网服务,1
189,2019-05-16,特斯拉太阳能工厂以出口为主美国业务陷困境,1
190,2019-05-15,英特尔再爆安全漏洞：可将部分芯片速度拖慢近20%,0
191,2019-05-15,英伟达中国区总经理：瞄准内容创造者是PC品牌机会,1
192,2019-05-15,日本显示器考虑在中资财团投资前提下裁员1000人,0
193,2019-05-14,东芝半导体部门将进一步裁员350人,0
194,2019-05-13,华为将发布新云计算数据库产品：挑战甲骨文、微软,1
195,2019-05-13,百度Apollo自动驾驶与车路协同项目落户沧州,1
196,2019-05-10,乐视汽车旗下公司注销贾跃亭亲属为实际控制人,0
197,2019-05-10,格力全资子公司注册资本增至4亿增加300%,1
198,2019-05-10,甲骨文大象转身云服务亡羊补牢,0
199,2019-05-09,三星多个项目代码泄露包括SmartThings源代码和密钥,0
200,2019-05-07,微软推出新平台以打造自主机器人,1
201,2019-05-07,云服务成微软Build大会焦点多项新功能挑战亚马逊,1
202,2019-05-06,库克：我对巴菲特持有巨额苹果股票感到很激动,1
203,2019-05-06,第二届数字中国建设成果展开馆,1
204,2019-05-06,人民日报：科技成果转化呼唤专业红娘,1
205,2019-05-05,巴菲特：进军车险的特斯拉是威胁但非最大竞争对手,0
206,2019-05-05,中国制造到中国品牌:曾经排队买苹果如今排队购华为,1
207,2019-04-29,VEX机器人世界锦标赛赛程过半中国队实力包揽初高中组冠军,1
208,2019-04-29,比尔·盖茨：基金会将在我和妻子去世后20年内关闭,0
209,2019-04-29,锤子回应坚果OS官方微博账号：现已停用,0
210,2019-04-28,丰田在美国的车联网普及计划正遭遇重重阻力,0
211,2019-04-28,格力待嫁：股权转让扑朔迷离珠海国资委称方向正确,0
212,2019-04-28,惠普黯淡背后：CEO换血频繁拆分结构混乱,0
213,2019-04-26,多部门整治图片市场整治图片公司滥用权利等行为,1
214,2019-04-25,我体验了下5G手机，问了问5G距离普通人究竟还多远,0
215,2019-04-25,国家航天局：中国2030年或将实现载人登月,1
216,2019-04-25,人工智能破译神经活动，脑机接口说出无言心声,1
217,2019-04-25,拉卡拉正式上市：开盘价39.94元大涨20%,1
218,2019-04-24,2019年中国航天日主场活动长沙开幕,1
219,2019-04-24,贾跃亭投资的汽车公司任命特斯拉前首席工程师为CEO,1
220,2019-04-24,刘强东案音视频：机构媒体的堕落与溃败,0
221,2019-04-24,中国明年将实施嫦娥6号任务实现月面自动采样返回,1
222,2019-04-24,第二届中国航天创新创业大赛决赛在西安举办,1
223,2019-04-24,郭台铭参选2020台金管会要求做好接班人咨询揭露,0
224,2019-04-24,TESS望远镜发现首颗地球大小系外行星或有大气层,1
225,2019-04-24,SpaceX向FCC申请互联网卫星通信许可,1
226,2019-04-23,福维克美善品三大措施发力中国市场,1
227,2019-04-19,市监总局等六部门：加大对侵犯知识产权行为查处力度,1
228,2019-04-18,中国企业拟增产OLED面板追赶韩国,1
229,2019-04-16,大兴机场新员工将上岗智能城市渐行渐近,1
230,2019-04-12,金山软件股东变更：联想等3位股东同日退出,0
231,2019-04-12,视觉中国被打脸了,0
232,2019-04-12,拜腾否认董事长毕福康将离职：报道情况与事实不符,0
233,2019-04-11,国美等待黄光裕：这句话内涵实在太丰富,0
234,2019-04-11,5G推动边缘计算应用进入快速发展期CDN市场将高增长,1
235,2019-04-11,机器换人成用工趋势佛山工业机器人产业的竞合江湖,1
236,2019-04-10,三星全球首发5G智能手机开创智能生活新时代,1
237,2019-04-10,高通宣布新型数据中心人工智能芯片计划：2020年生产,1
238,2019-04-10,今晚，人类将看见黑洞,1
239,2019-04-09,菲亚特斥资数亿美元向特斯拉购买碳排放额度,1
240,2019-04-09,美国SEC官员：要求法官处罚马斯克是合理要求,0
241,2019-04-09,避免人工智能陷入信任危机欧盟先发制人制定规则,1
242,2019-04-09,华大基因谜团待解：一纸监管决定暴露信披漏洞,0
243,2019-04-09,特斯拉针对销售团队展开裁员订车流程转移到线上,0
244,2019-04-08,马斯克被曝与员工发生肢体冲突特斯拉董事会否认,0
245,2019-04-08,微软中国突围：强手如林内忧外患,0
246,2019-04-08,微软重视人工智能：CEO每周组织高管评估公司AI项目,1
247,2019-04-04,国家邮政局：3月中国快递发展指数同比提高22%,1
248,2019-04-03,高通CFO前脚离职后脚加入对家英特尔,0
249,2019-04-03,神州数码去年云收入近6亿郭为称百亿才算转型成功,1
250,2019-04-03,无人驾驶公司AuroraCEO：愿与宝马、戴姆勒合作,1
251,2019-04-03,硅谷著名风投A16Z宣布转型：将成为投资顾问机构,1
252,2019-04-02,国美系低开：国美通讯跌4.97%，中关村跌4.17%,0
253,2019-04-02,微软亚太区总裁：中国发展AI有优势上海是创新代表,1
254,2019-04-02,高通前CEO放弃收购高通及私有化将专注创业,0
255,2019-04-01,图灵奖获得者YoshuaBengio：抵制杀手机器人,1
256,2019-04-01,拟15亿购买吴晓波频道全通教育被深交所追问,0
257,2019-04-01,余承东接受外媒专访：我们的5G技术遥遥领先,1
258,2019-03-29,巴菲特：波音737Max的问题不会改变这个行业,0
259,2019-03-29,巴菲特评苹果进军娱乐：这是可以犯一两次错误的公司,0
260,2019-03-29,鏖战印度：三星跌下神坛后再战中国厂商组队厮杀,0
261,2019-03-29,WTO裁定美国未能撤销一些针对波音的非法补贴,0
262,2019-03-28,特朗普：谷歌总裁向我保证忠于美军而非中国军队,0
263,2019-03-28,马斯克一个月内两度发邮件解释特斯拉关闭门店计划,0
264,2019-03-28,美航飞行员呼吁审批波音737Max软件更新时勿操之过急,1
265,2019-03-27,波音又出事了西南航空波音737Max在奥兰多紧急迫降,0
266,2019-03-27,苹果在高通针对其提出的第二起诉讼中躲过了进口禁令,0
267,2019-03-27,甲骨文计划5月份裁员352人调整云计算战略,0
268,2019-03-27,新能源车补贴政策调整好钢用在刀刃上,1
269,2019-03-27,民航局暂停受理737MAX飞机适航证申请意味着什么,0
270,2019-03-26,麦当劳宣布最大规模收购：创建更个性化汽车餐厅菜单,1
271,2019-03-26,比特大陆架构调整：王海超任CEO聚焦数字货币AI芯片,1
272,2019-03-25,腾讯云详解服务器故障：光纤挖断所致150秒恢复网络,0
273,2019-03-25,盗30万条个人信息叫价1比特币网偷被警方抓获,0
274,2019-03-25,人工智能全球竞赛：中国智能+高速冲浪,1
275,2019-03-25,人民日报：智能+，更应重视安全挑战,1
276,2019-03-22,五个月两起坠机事故是垄断地位害了波音吗？,0
277,2019-03-21,世卫呼吁建立人类基因编辑全球注册制度,1
278,2019-03-21,戒酒只要300秒，这群科学家用了什么黑科技？,1
279,2019-03-19,富士康宣布威斯康星工厂将于2020年底之前投产,1
280,2019-03-19,世界知识产权组织：2018国际专利申请量华为第一,1
281,2019-03-19,SEC：对马斯克在达成协议时发布特斯拉推文感到震惊,0
282,2019-03-19,美政府联合英特尔开发每秒百亿亿次计算的超级计算机,1
283,2019-03-18,波音正在对737Max进行软件升级改善飞行员培训计划,1
284,2019-03-18,传特朗普私下认为自动驾驶威胁社会：太疯狂了,0
285,2019-03-15,美国法官裁决：高通欠苹果10亿美元专利费退款,0
286,2019-03-15,中国信通院院长刘多：新型基础投资建设助力稳增长,1
287,2019-03-15,特斯拉任命新首席会计官：曾供职于SolarCity,1
288,2019-03-14,美国研究机构：到2030年中国AI研究有望领跑全球,1
289,2019-03-14,因起火隐患：惠普扩大笔记本电池召回范围,0
290,2019-03-14,京东方力求成为下一代iPhone屏幕第二家供应商,1
291,2019-03-13,马斯克推文风波仍继续：法官允许SEC回应马斯克抗辩,0
292,2019-03-12,特斯拉车主仍喜欢该品牌但最大问题是服务,0
293,2019-03-12,最后期限已近：马斯克仍未回应SEC藐视法庭指控,0
294,2019-03-11,张勇不再担任阿里创投管理公司法人戴珊接任,0
295,2019-03-11,上市后首现利润下滑顺丰控股长远布局需忍短期阵痛,0
296,2019-03-08,马斯克，那一夜你伤害了我,0
297,2019-03-08,文件：特斯拉与中国多家银行达成35亿元贷款协议,1
298,2019-03-07,华为：有证据表明美国政府涉嫌入侵华为服务器,0
299,2019-03-07,彭博：三星否认考虑竞购恩智浦,1
300,2019-03-07,黑猫投诉年度红黑榜:共享出行企业领跑黑榜,0
301,2019-03-06,特斯拉称已与中国海关达成清关问题的解决方案,1
302,2019-03-06,李斌证实：蔚来汽车确定取消嘉定建厂计划,0
303,2019-03-06,软银愿景基金贷款30亿美元弥补交易资金缺口,0
304,2019-03-05,李克强:深入实施创新驱动发展战略创新能力效率提升,1
305,2019-03-04,法国财长：对谷歌等巨头征税每年或将获5亿欧元收入,1
306,2019-03-04,滴滴新成立全资子公司经营范围涉自动驾驶汽车技术,1
307,2019-03-04,特斯拉计划于本月14日发布SUV新车型ModelY,1
308,2019-03-01,称3158招商加盟网做虚假宣传呷哺呷哺起诉索赔,0
309,2019-03-01,华为将在加拿大扩招200名研发人员增加研发资金投入,1
310,2019-02-28,李小加：将在沪深港通的交易后分配中应用区块链技术,1
311,2019-02-28,工信部:链家斗鱼等App因互联网服务存问题被督促整改,0
312,2019-02-27,研究称黑客可通过漏洞劫持裸金属服务器IBM将修复,0
313,2019-02-27,注册资本20亿美元恒大成立新能源汽车公司,1
314,2019-02-26,特斯拉车主再遭致命事故：事故发生一天后电池仍燃烧,0
315,2019-02-26,美国云计算法案规定治外法权引起欧盟强烈反弹,0
316,2019-02-26,中国资本亮相奥斯卡阿里影业成最大赢家,1
317,2019-02-25,英特尔2020年前不推出5G芯片或致苹果今年无5G手机,0
318,2019-02-25,科学家揭示细胞门神抗病毒感染重要调控机制,1
319,2019-02-20,全国首个人工智能创新发展试验区在北京成立,1
320,2019-02-20,国家邮政局：1月快递量45.2亿件业务收入596.8亿元,1
321,2019-02-19,裁员风暴下的比特大陆：人工智能业务成为重灾区,0
322,2019-02-19,华为又摊事了:被指抄袭苹果获取商业机密华为已否认,0
323,2019-02-18,物理学家创建量子制冷机或被用于冷却微电子组件,1
324,2019-02-18,珠峰永久关闭系谣言实为科学保护再升级,1
325,2019-02-18,春节暖心服务不断前行华为体验店里的那些感动一刻,1
326,2019-02-15,滴滴宣布过冬：将裁员15%涉及员工超2000人,0
327,2019-02-15,31省GDP目标推动高质量发展成聚焦点,1
328,2019-02-15,2018年度克利夫兰奖正式颁给潘建伟团队,1
329,2019-02-15,教育部：将明确教师不得通过微信和QQ等方式布置作业,1
330,2019-02-15,滴滴：春节打车平均成功率64%为司机发放补贴超3亿,1
331,2019-02-14,京东方击败LG成全球最大电视和显示器液晶面板供应商,1
332,2019-02-14,全球首次！中国AI诊断技术成果荣登顶级医学杂志,1
333,2019-02-14,自动驾驶实力排名：谷歌第一百度第七苹果惨不忍睹,1
334,2019-02-14,北磁极偏移你我的手机导航都会受影响,0
335,2019-02-14,贝佐斯荣登美国慈善排行榜首位去年捐款20亿美元,1
336,2019-01-30,传滴滴拟裁员25%内部人士回应称正常调整,0
337,2019-01-30,暴风集团：预计2018年度亏损9.2亿-9.25亿元,0
338,2019-01-26,屠呦呦入围BBC20世纪最具标志性人物与爱因斯坦并列,1
339,2019-01-25,专访高通副总裁：苹果打击高通是在变相削弱安卓阵营,0
340,2019-01-24,2019中国最好大学排名发布清华居首,1
341,2019-01-24,社交媒体使用越多可能越感孤独,0
342,2019-01-24,首批体细胞克隆疾病模型猴中国诞生价值不可估量,1
343,2019-01-23,大龄单身狗返乡过年期间瞬时压力激增现象及应对研究,0
344,2019-01-22,发改委回应互联网行业裁员：没出现大规模裁员现象,1
345,2019-01-22,海口今日起停止为燃油车办理网约车许可业务,1
346,2019-01-22,超级买手阿里:一年投资65笔涉及金额高达5400亿,1
347,2019-01-21,清华大学人工智能研究院成立知识智能研究中心,1
348,2019-01-21,量子位2018中国年度人工智能评选揭晓,1
349,2019-01-18,SpaceX将在德州组装、测试星际飞船加州议员失落,0
350,2019-01-18,中消协：警惕以治病为噱头的保健品虚假宣传行为,0
351,2019-01-18,市监总局局长：评著名商标的政府行为2019一律取消,1
352,2019-01-18,地磁北极移动快，导航模型要更新,0
353,2019-01-18,第50届CRC彩电行业研究发布会召开飞利浦电视捧获三项大奖,1
354,2019-01-17,全球物联网支出超五万亿行业洗牌期合作将成常态,1
355,2019-01-16,台湾工研院禁止员工使用华为手机电脑，国台办回应,0
356,2019-01-16,美媒：争当下一个马斯克中国公司挖特斯拉墙脚,0
357,2019-01-16,走路看手机罚10元交警表示:希望引起行人重视,0
358,2019-01-15,解决方案成万恶之源，科技也许正在毁灭人,0
359,2019-01-15,交通运输部正推进无车承运人下一步相关工作,1
360,2019-01-11,腾讯110发布2018成绩单：受理量破千万，协助破案达2亿元,1
361,2019-01-11,英伟达CEO：自家显卡能碾压AMD最新款RadeonVII,1
362,2019-01-11,新意不足同质化严重，CES上不得不吐的五大槽点,0
363,2019-01-10,杨元庆：押注人工智能不能一撞南墙就回头,0
364,2019-01-10,美的集团一项豆浆机专利被判无效北京高院终审败诉,0
365,2019-01-10,权健事件冲击波：实控人之子旗下电商平台暂停加盟,0
366,2019-01-10,2018中国电竞：摆脱王思聪们出圈商业化是未来,1
367,2019-01-09,行业知识图谱对企业到底有多重要？慧科讯业告诉你,1
368,2019-01-09,有核心技术才能熬过寒冬，半导体初创企业也如此,1
369,2019-01-09,疑似IBM内部文件曝光：赶走老员工将岗位转移至海外,0
370,2019-01-07,三星电子季度营业利润或出现两年来首次下滑,0
371,2019-01-07,洛杉矶起诉IBM旗下天气应用称滥用用户位置数据,0
372,2019-01-07,活久见！苹果iTune和三星电视达成流媒体合作,1
373,2019-01-07,天津日报评论：重打猛打真打坚决铲除保健品乱象,1
374,2019-01-07,华尔街日报：iPhoneXR销量扑街还是因为太贵,0
375,2019-01-04,苹果FaceID能被破解？安全研究员取消技术汇报,0
376,2019-12-28,加密货币疲软：日本IT巨头GMO宣布退出矿机市场,0
377,2019-12-28,索尼高管:将提高3D摄像头传感器产量目前已开始盈利,1
378,2019-12-27,权健火疗玩火自焚：专利申请已失效，卷入两单命案,0
379,2019-12-26,拾年保用户交流会第二场举办，背后是金融科技集团化布局,1
380,2019-12-25,在华调低售价在美给用户补损失:特斯拉股价大跌7.6%,0
